"Gene_Symbol","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPEP1","ENSG00000015413",2138.19456203205,-5.78219723934751,1.05087136382779,-5.50228832793188,3.74893192705434e-08,0.00035113093770648
"GRIN2D","ENSG00000105464",536.107498965658,-4.79037731965862,0.899038257991816,-5.32833533731801,9.91169988185606e-08,0.00035113093770648
"INHBA","ENSG00000122641",605.963511730605,-5.10211810205626,0.96330656358447,-5.29646355057652,1.18066892302112e-07,0.00035113093770648
"CFAP74","ENSG00000142609",79.21239846878,-6.95853244108992,1.3003619395275,-5.351227400287,8.73596603198863e-08,0.00035113093770648
"SLC6A20","ENSG00000163817",1206.1195570738,-5.60878951586777,1.05171960471086,-5.33297039509853,9.66190687365393e-08,0.00035113093770648
"KRT80","ENSG00000167767",162.398872395067,-5.1313438777109,0.925366837147638,-5.54519966754786,2.93618915613075e-08,0.00035113093770648
"CPNE7","ENSG00000178773",805.285748760737,-5.68013242324968,1.07144946187977,-5.30135356387633,1.14947228441913e-07,0.00035113093770648
"MALRD1","ENSG00000204740",296.824799392126,-5.29280529083443,1.05343267831601,-5.0243412794972,5.0516337521525e-07,0.00131456139315389
"SLC13A3","ENSG00000158296",391.314624028825,-5.77941727197702,1.16314467834722,-4.9687862392057,6.7373290662307e-07,0.00140257716500791
"CASC19","ENSG00000254166",864.077945617209,-5.24811598996269,1.0555990205866,-4.97169463746404,6.63701858904169e-07,0.00140257716500791
"SLC35D3","ENSG00000182747",214.182762001929,-5.69353426577473,1.16037252572761,-4.90664346107697,9.26482287241506e-07,0.00164504649711406
"ELFN1-AS1","ENSG00000236081",152.546305615432,-5.50291876035543,1.1225668304174,-4.90208565873028,9.48244690429853e-07,0.00164504649711406
"SLC1A7","ENSG00000162383",478.924491438176,-4.5259812033928,0.930993845041916,-4.86145126253657,1.16528272393402e-06,0.00169710123984127
"MAPK15","ENSG00000181085",489.403947578206,-4.65402099494073,0.959453527185462,-4.85069976092871,1.23026656930571e-06,0.00169710123984127
"SMTNL2","ENSG00000188176",107.596237388016,-4.01678566031775,0.830070041355945,-4.83909243821908,1.30433374183208e-06,0.00169710123984127
"RMEL3","ENSG00000250961",12.2320417722125,6.99346074136711,1.43718233363459,4.86609150258677,1.13826833627195e-06,0.00169710123984127
"LINC03138","ENSG00000232855",29.8421540990123,2.77398174184386,0.582905313826519,4.7588890957845,1.94661349712251e-06,0.00238379998724096
"STC2","ENSG00000113739",586.723228011461,-4.44278372507493,0.939182728032058,-4.73047852400803,2.23991222836327e-06,0.00259058293167037
"RBM24","ENSG00000112183",237.359823727146,3.15659361669983,0.67794896574284,4.65609326985417,3.22265985040229e-06,0.00343940455825945
"CLDN1","ENSG00000163347",1334.73497663127,-4.39807561382965,0.945631625148823,-4.65093964379362,3.30426031151835e-06,0.00343940455825945
"COL11A1","ENSG00000060718",710.453554407504,-5.20720835506536,1.13956001900669,-4.56949021395493,4.88911993540649e-06,0.00446067109221341
"OCA2","ENSG00000104044",292.977106632636,-4.46367059330401,0.976432376870627,-4.57140780973451,4.84458417946085e-06,0.00446067109221341
"COL10A1","ENSG00000123500",191.231289061843,-5.1920556622455,1.13665919893607,-4.56782091510397,4.92820804692614e-06,0.00446067109221341
"PRDM13","ENSG00000112238",52.3628318372912,-5.34468665511737,1.17353830452216,-4.55433506901474,5.25515362834018e-06,0.00455840784311608
"HS3ST6","ENSG00000162040",48.9637906388077,4.60467946189534,1.02068077859912,4.51138059856017,6.44070353249117e-06,0.00536330264557605
